timestamp,run_name,round,acc,precision,recall,f1,tp,tn,fp,fn,total,correct,num_clients,lr,batch_size,local_epochs,steps_per_epoch,split,device,seed
2025-10-23T08:40:29,simulation 1,0,0.89095745,0.08205128,0.38095238,0.13502110,16,1659,179,26,1880,1675,10,0.001,8,1,94,1,cpu,42
2025-10-23T08:40:48,simulation 1,1,0.88989362,0.10526316,0.52380952,0.17529880,22,1651,187,20,1880,1673,10,0.001,8,1,94,1,cpu,42
2025-10-23T08:41:06,simulation 1,2,0.89574468,0.14351852,0.73809524,0.24031008,31,1653,185,11,1880,1684,10,0.001,8,1,94,1,cpu,42
2025-10-23T08:41:25,simulation 1,3,0.89627660,0.14084507,0.71428571,0.23529412,30,1655,183,12,1880,1685,10,0.001,8,1,94,1,cpu,42
2025-10-23T08:41:43,simulation 1,4,0.89840426,0.15348837,0.78571429,0.25680934,33,1656,182,9,1880,1689,10,0.001,8,1,94,1,cpu,42
2025-10-23T08:42:03,simulation 1,5,0.89946809,0.15165877,0.76190476,0.25296443,32,1659,179,10,1880,1691,10,0.001,8,1,94,1,cpu,42
2025-10-23T08:42:22,simulation 1,6,0.89946809,0.15813953,0.80952381,0.26459144,34,1657,181,8,1880,1691,10,0.001,8,1,94,1,cpu,42
2025-10-23T08:42:42,simulation 1,7,0.90265957,0.15942029,0.78571429,0.26506024,33,1664,174,9,1880,1697,10,0.001,8,1,94,1,cpu,42
2025-10-23T08:43:03,simulation 1,8,0.90265957,0.15942029,0.78571429,0.26506024,33,1664,174,9,1880,1697,10,0.001,8,1,94,1,cpu,42
2025-10-23T08:43:23,simulation 1,9,0.90159574,0.14427861,0.69047619,0.23868313,29,1666,172,13,1880,1695,10,0.001,8,1,94,1,cpu,42
2025-10-23T08:43:43,simulation 1,10,0.90053191,0.14285714,0.69047619,0.23673469,29,1664,174,13,1880,1693,10,0.001,8,1,94,1,cpu,42
2025-10-23T08:44:03,simulation 1,11,0.90000000,0.15887850,0.80952381,0.26562500,34,1658,180,8,1880,1692,10,0.001,8,1,94,1,cpu,42
2025-10-23T08:44:22,simulation 1,12,0.90159574,0.15789474,0.78571429,0.26294821,33,1662,176,9,1880,1695,10,0.001,8,1,94,1,cpu,42
2025-10-23T08:44:42,simulation 1,13,0.90212766,0.15196078,0.73809524,0.25203252,31,1665,173,11,1880,1696,10,0.001,8,1,94,1,cpu,42
2025-10-23T08:45:02,simulation 1,14,0.90691489,0.16243655,0.76190476,0.26778243,32,1673,165,10,1880,1705,10,0.001,8,1,94,1,cpu,42
2025-10-23T08:45:23,simulation 1,15,0.90372340,0.16425121,0.80952381,0.27309237,34,1665,173,8,1880,1699,10,0.001,8,1,94,1,cpu,42
2025-10-23T08:45:43,simulation 1,16,0.90744681,0.17000000,0.80952381,0.28099174,34,1672,166,8,1880,1706,10,0.001,8,1,94,1,cpu,42
2025-10-23T08:46:04,simulation 1,17,0.90904255,0.18226601,0.88095238,0.30204082,37,1672,166,5,1880,1709,10,0.001,8,1,94,1,cpu,42
2025-10-23T08:46:25,simulation 1,18,0.90531915,0.16336634,0.78571429,0.27049180,33,1669,169,9,1880,1702,10,0.001,8,1,94,1,cpu,42
2025-10-23T08:46:44,simulation 1,19,0.90319149,0.16981132,0.85714286,0.28346457,36,1662,176,6,1880,1698,10,0.001,8,1,94,1,cpu,42
2025-10-23T08:47:02,simulation 1,20,0.90638298,0.17475728,0.85714286,0.29032258,36,1668,170,6,1880,1704,10,0.001,8,1,94,1,cpu,42
2025-10-23T08:47:22,simulation 1,21,0.90319149,0.17289720,0.88095238,0.28906250,37,1661,177,5,1880,1698,10,0.001,8,1,94,1,cpu,42
2025-10-23T08:47:42,simulation 1,22,0.90478723,0.17840376,0.90476190,0.29803922,38,1663,175,4,1880,1701,10,0.001,8,1,94,1,cpu,42
2025-10-23T08:48:02,simulation 1,23,0.91063830,0.18181818,0.85714286,0.30000000,36,1676,162,6,1880,1712,10,0.001,8,1,94,1,cpu,42
2025-10-23T08:48:22,simulation 1,24,0.90851064,0.17821782,0.85714286,0.29508197,36,1672,166,6,1880,1708,10,0.001,8,1,94,1,cpu,42
2025-10-23T08:48:41,simulation 1,25,0.91223404,0.18461538,0.85714286,0.30379747,36,1679,159,6,1880,1715,10,0.001,8,1,94,1,cpu,42
2025-10-23T08:49:00,simulation 1,26,0.91276596,0.18229167,0.83333333,0.29914530,35,1681,157,7,1880,1716,10,0.001,8,1,94,1,cpu,42
2025-10-23T08:49:19,simulation 1,27,0.90957447,0.18000000,0.85714286,0.29752066,36,1674,164,6,1880,1710,10,0.001,8,1,94,1,cpu,42
2025-10-23T08:49:37,simulation 1,28,0.91170213,0.17368421,0.78571429,0.28448276,33,1681,157,9,1880,1714,10,0.001,8,1,94,1,cpu,42
2025-10-23T08:49:56,simulation 1,29,0.91170213,0.17708333,0.80952381,0.29059829,34,1680,158,8,1880,1714,10,0.001,8,1,94,1,cpu,42
2025-10-23T08:50:15,simulation 1,30,0.91436170,0.18518519,0.83333333,0.30303030,35,1684,154,7,1880,1719,10,0.001,8,1,94,1,cpu,42
2025-10-23T08:50:34,simulation 1,31,0.91010638,0.16042781,0.71428571,0.26200873,30,1681,157,12,1880,1711,10,0.001,8,1,94,1,cpu,42
2025-10-23T08:50:53,simulation 1,32,0.91436170,0.19170984,0.88095238,0.31489362,37,1682,156,5,1880,1719,10,0.001,8,1,94,1,cpu,42
2025-10-23T08:51:12,simulation 1,33,0.91382979,0.18750000,0.85714286,0.30769231,36,1682,156,6,1880,1718,10,0.001,8,1,94,1,cpu,42
